Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Psi (65.00, 70.00, 75.00°)	Delta (65.00, 70.00, 75.00°)									Model	
500.508789	49.570831	253.087158	49.399071	254.626129	82.232483	144.525757	82.418030	141.263138	51.036705	64.662880	51.222389	65.553490	
502.099304	53.354263	250.444748	52.957329	251.730667	76.955864	113.757523	76.659828	112.853973	48.083660	63.662502	48.287827	64.634979	
503.689758	56.993538	245.838287	56.970451	247.594940	70.684700	102.447868	70.420044	101.729515	45.604095	63.152199	45.796501	63.854469	
505.280182	61.666306	239.937424	61.389450	241.625961	64.904999	95.558983	64.677261	95.604546	43.464520	62.550465	43.653061	63.251732	
506.870544	66.268990	230.531372	66.023392	232.737991	59.737282	91.189819	59.633228	91.548370	41.613312	62.145077	41.779556	62.843391	
508.460938	70.440475	216.208572	70.398903	219.029938	55.272419	88.220566	55.288551	88.611870	40.002308	61.952477	40.112949	62.633152	
510.051514	73.493996	195.331909	73.559189	198.229996	51.573582	86.009247	51.571869	86.406631	38.450546	61.711823	38.602432	62.617664	
511.641693	74.081917	169.206528	74.223953	171.875748	48.267990	84.172119	48.392372	84.746185	36.998104	61.834305	37.208080	62.789890	
513.232056	71.674026	145.759064	72.075592	148.180679	45.703671	82.820007	45.657173	83.526711	35.693111	62.180126	35.896786	63.141239	
514.822510	67.817978	130.055115	68.224838	131.807129	43.235680	82.170807	43.284081	82.684494	34.427185	62.901680	34.642120	63.662735	
516.412720	63.362862	119.595154	63.825695	121.244804	41.083111	81.672791	41.202888	82.175972	33.218456	63.365902	33.422482	64.345642	
518.003113	59.017662	112.840790	59.500153	114.251556	39.196827	81.386253	39.354607	81.968826	31.937449	64.387390	32.219635	65.182182	
519.593262	55.139004	108.098633	55.512070	109.434700	37.503510	81.336029	37.691509	82.038055	30.801203	65.442703	31.018753	66.165306	
521.183594	51.479744	104.824738	51.943592	106.023819	35.944607	81.609970	36.173862	82.363617	29.567936	66.470810	29.806726	67.289688	
522.773743	48.508011	102.567253	48.795914	103.589180	34.756199	82.310928	34.770267	82.929207	28.381283	67.705620	28.573111	68.550636	
524.363892	45.743523	101.001671	46.033298	101.877228	33.392857	83.011574	33.454807	83.721802	27.095926	69.068680	27.308727	69.945274	
525.953918	43.316177	99.763336	43.608250	100.730980	31.928720	84.120590	32.206692	84.731178	25.750704	70.748772	26.006094	71.472168	
527.543945	41.133114	99.020683	41.471214	100.047379	30.783707	85.269432	31.008692	85.950111	24.341202	72.331635	24.658632	73.132431	
529.134155	39.284927	98.569191	39.576813	99.755913	29.560694	86.850700	29.847046	87.373940	22.887966	74.234734	23.261271	74.929558	
530.724243	37.676769	98.915932	37.885803	99.806030	28.550619	88.288727	28.711178	89.000000	21.375526	76.151154	21.810850	76.869698	
532.314270	35.967663	99.399490	36.363873	100.160042	27.271008	89.974678	27.592321	90.828964	19.865871	78.254120	20.305019	78.964531	
533.904175	34.624798	99.960434	34.982441	100.789085	26.166889	92.390877	26.483904	92.864120	18.247124	80.662102	18.743155	81.232437	
535.494202	33.306095	100.744110	33.717670	101.670647	25.051222	94.919365	25.381084	95.112038	16.630836	83.228401	17.126183	83.702522	
537.084106	32.023746	102.230782	32.550018	102.786911	24.049074	97.074738	24.280806	97.582573	14.966838	85.962379	15.457019	86.420425	
538.673950	31.033516	103.350273	31.463415	104.123741	22.919956	100.080460	23.181561	100.289680	13.179529	88.910873	13.740613	89.459900	
540.263794	30.137508	104.982597	30.444799	105.669960	21.903748	103.223106	22.083456	103.251816	11.503292	92.909920	11.984555	92.943748	
